id,nombre,dias,raza,reservado,genero,peso,vacunado
1,Colmillo,91,Bulldog,NO,H,2000,SI
2,Spunky,87,Collie,NO,H,3400,NO
3,Pluto,47,Salchicha,NO,H,4000,SI
4,Max,70,Collie,SI,H,3000,NO
5,Milo,70,Pequines,SI,H,2250,SI
10,Firulais,95,Callejero,NO,H,2000,SI
13,Scooby,55,Labrador,NO,H,2000,NO
16,Beethoven,61,Bulldog,SI,H,2000,SI
21,Benji,97,Salchicha,SI,H,2000,SI
22,Reina,93,Boxer,NO,M,2000,NO
24,Milo,74,Caniche,SI,H,2000,SI
25,Max,69,Dogo,NO,H,2000,SI
27,Buster,54,Boxer,NO,H,2000,SI
29,Peggy,52,Callejero,NO,M,2000,SI
30,Snoopy,57,Beagle,SI,H,2000,SI
31,Benji,54,Dogo,NO,H,2000,SI
32,Pluto,77,Labrador,SI,H,2000,SI
34,Bonnie,84,Pequines,SI,M,2000,SI
36,Charlie,53,Boxer,SI,H,2000,SI
39,Bonnie,93,Collie,NO,M,2000,SI
42,Firulais,59,Boxer,NO,H,2000,SI
44,Benji,99,Beagle,NO,H,2000,NO
45,Lassie,61,Caniche,SI,M,2000,SI
52,Einstein,96,Callejero,NO,H,2000,SI
53,Einstein,72,Callejero,SI,H,2000,SI
56,Reina,78,Boxer,NO,M,2000,SI
57,Reina,85,Collie,SI,M,2000,SI
58,Scooby,51,Collie,SI,H,2000,SI
63,Benji,59,Collie,NO,H,2000,NO
66,Reina,79,Collie,SI,M,2000,SI
67,Charlie,52,Labrador,NO,H,2000,SI
68,Pluto,50,Bulldog,NO,H,2000,SI
69,Spunky,86,Bulldog,NO,H,2000,NO
70,Firulais,47,Labrador,SI,H,2000,SI
71,Spunky,61,Callejero,SI,H,2000,SI
77,Lassie,62,Caniche,SI,M,2000,SI
79,Max,65,Beagle,SI,H,2000,SI
81,Reina,83,Dogo,NO,M,2000,SI
82,Charlie,72,Bulldog,NO,H,2000,SI
84,Charlie,78,Salchicha,SI,H,2000,SI
88,Colmillo,90,Pequines,SI,H,2120,SI
90,Buster,93,Salchicha,NO,H,2340,SI
93,Max,81,Beagle,SI,H,2290,NO
94,Milo,95,Bulldog,SI,H,2400,SI
95,Benji,70,Boxer,SI,H,2030,SI
96,Max,53,Boxer,NO,H,2200,NO
97,Beethoven,79,Caniche,SI,H,2000,SI
98,Reina,78,Beagle,SI,M,2000,SI
99,Peggy,98,Callejero,NO,M,2000,SI
