id,nombre,dias,raza,reservado,genero,peso,vacunado
6,Reina,16,Beagle,SI,M,2500,SI
11,Peggy,40,Pequines,SI,M,2000,SI
19,Lassie,31,Dogo,SI,M,2000,NO
22,Reina,93,Boxer,NO,M,2000,NO
29,Peggy,52,Callejero,NO,M,2000,SI
34,Bonnie,84,Pequines,SI,M,2000,SI
39,Bonnie,93,Collie,NO,M,2000,SI
45,Lassie,61,Caniche,SI,M,2000,SI
46,Lassie,3,Pequines,NO,M,2000,SI
56,Reina,78,Boxer,NO,M,2000,SI
57,Reina,85,Collie,SI,M,2000,SI
66,Reina,79,Collie,SI,M,2000,SI
77,Lassie,62,Caniche,SI,M,2000,SI
78,Bonnie,36,Salchicha,SI,M,2000,SI
81,Reina,83,Dogo,NO,M,2000,SI
83,Lassie,31,Dogo,SI,M,2000,SI
98,Reina,78,Beagle,SI,M,2000,SI
99,Peggy,98,Callejero,NO,M,2000,SI
